Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
TCGA-D7-6527-01A-11R-1802-13	0.223343946	0	0.167043209	0.071842019	0	0.195855524	0.009100876	0.010266097	0.024257556	0	0	0	0.025646059	0.134266455	0.056085729	0.029851245	0	0	0.021335781	0.028311737	0	0.002793769
TCGA-VQ-A8PC-01A-11R-A39E-31	0.046330578	0.110912574	0.004420829	0.072393902	0	0.311029539	0.004909862	0	0.004289953	0	0.024796288	0	0.010834469	0	0.045779913	0.231471646	0.029086063	0.023316846	0.06248868	0	0	0.017938856
TCGA-CG-4304-01A-01R-1157-13	0.08960893	0	0.171663556	0.025680473	0	0.184093794	0.057403407	0.007505202	0.009608391	0	0.015307869	0	0	0.121758004	0.062285619	0.129998794	0.009634074	0.000854104	0.001473035	0.0051362	0.010867816	0.097120732
TCGA-HU-A4G2-01A-11R-A251-31	0.170592387	0	0.015971048	0.198559078	0	0.136896319	0.183500949	0	0.007373411	0	0	0.016849426	0	0.004436145	0.070074585	0.123000057	0.06200299	0.002306892	0.006499706	0	0	0.001937007
TCGA-VQ-A8PX-01A-12R-A414-31	0.18364134	0	0.1504592	0.188400812	0	0.258787334	0.003316401	0.000955541	0.059610933	0	0	0.02544066	0.016359226	0.014680789	0.013690666	0.003963796	0	0.041267928	0	0.015516663	0	0.023908711
TCGA-VQ-AA68-01A-11R-A414-31	0.217816065	0	0.029577192	0.140321186	0	0.152053527	0.054961619	0.016607926	0.092081709	0	0.003945171	0	0	0.085704238	0.044821904	0.070518463	0.007653466	0.017179368	0.066758167	0	0	0
TCGA-VQ-A91E-01A-31R-A414-31	0.075355787	0.006924392	0.104738611	0.185825019	0	0.318385304	0.07617226	0.039290591	0	0	0	0.016828581	0.006307674	0.045529156	0.0409925	0.05592913	0	0.007613286	0.008516402	0	0	0.011591307
TCGA-BR-7196-01A-11R-2055-13	0.183776866	0	0.121257086	0.183268166	0	0.100547149	0.050153325	0.016668209	0.014280293	0	0.039887106	0	0.024043642	0.019875979	0.109019095	0.073107114	0.017264282	0	0.04685169	0	0	0
TCGA-HU-A4H0-01A-11R-A251-31	0.056270758	0	0.014213983	0.182608836	0	0.24043961	0.154074386	0.057508204	0.002436468	0	0.000333175	0	0.00197562	0.001203217	0.139943993	0.109890986	0.005533414	0	0.033567351	0	0	0
TCGA-BR-8371-01A-11R-2343-13	0.421168929	0	0.01806632	0.09572303	0	0.190310356	0	0	0.098092944	0	0	0.055129753	0.012617329	0.011969333	0.003195397	0.034132217	0	0.021635694	0.036330962	0	0.001627735	0
